Date,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other
2/1/1961,4.148333333,8.098333333,5.348333333,22.26833333,2.088333333,5.838333333,7.778333333,4.988333333,2.068333333,6.748333333,4.728333333,5.678333333,8.968333333,-0.351666667,4.158333333,5.928333333,-1.781666667,9.178333333,0.358333333,3.478333333,0.548333333,0.138333333,4.478333333,6.768333333,4.158333333,3.248333333,4.758333333,8.168333333,6.938333333,5.938333333
3/1/1961,4.640833333,2.550833333,5.600833333,7.180833333,4.770833333,6.340833333,3.080833333,3.600833333,0.920833333,5.920833333,2.500833333,1.840833333,1.520833333,2.980833333,3.140833333,1.400833333,2.430833333,-0.759166667,1.270833333,1.550833333,7.230833333,-0.199166667,2.310833333,-0.689166667,0.860833333,4.450833333,5.760833333,4.060833333,4.340833333,7.080833333
4/1/1961,-1.410833333,1.379166667,-0.250833333,-2.230833333,-6.390833333,2.639166667,2.579166667,-0.490833333,-1.490833333,-5.330833333,-3.530833333,-1.630833333,-2.340833333,-2.550833333,-1.860833333,1.959166667,0.949166667,0.489166667,4.649166667,1.679166667,0.609166667,-0.140833333,2.169166667,-0.390833333,-1.640833333,3.059166667,0.199166667,4.209166667,1.359166667,-3.690833333
5/1/1961,4.189166667,5.369166667,3.379166667,-3.920833333,2.699166667,-0.030833333,6.789166667,2.089166667,5.489166667,5.459166667,2.099166667,5.879166667,4.629166667,4.449166667,3.339166667,2.059166667,8.449166667,7.629166667,-0.190833333,2.309166667,-1.230833333,-0.710833333,1.559166667,1.379166667,4.729166667,-0.050833333,4.299166667,-1.910833333,3.989166667,3.309166667
6/1/1961,-2.164166667,-3.114166667,3.975833333,-5.864166667,-3.844166667,3.435833333,-5.494166667,-3.574166667,-1.314166667,-3.354166667,-2.944166667,-7.644166667,-3.134166667,-3.914166667,-1.304166667,-3.374166667,-5.954166667,-4.404166667,-4.214166667,-2.014166667,-4.184166667,0.135833333,-3.304166667,-4.454166667,-4.564166667,-4.894166667,0.805833333,-5.624166667,-2.874166667,0.375833333
7/1/1961,2.713333333,0.873333333,5.943333333,-1.216666667,-2.556666667,1.963333333,2.023333333,3.263333333,2.943333333,1.523333333,-0.176666667,4.113333333,1.063333333,3.183333333,6.513333333,3.823333333,2.573333333,3.223333333,2.063333333,2.693333333,6.243333333,-8.256666667,0.553333333,-0.506666667,-0.326666667,-0.016666667,2.443333333,2.683333333,3.343333333,5.363333333
8/1/1961,4.860833333,3.140833333,7.680833333,0.830833333,0.830833333,10.39083333,5.150833333,3.640833333,2.290833333,5.710833333,0.760833333,0.130833333,1.570833333,3.170833333,1.890833333,-0.959166667,4.510833333,1.560833333,-0.039166667,3.600833333,0.060833333,8.930833333,5.050833333,5.310833333,3.460833333,3.030833333,2.970833333,0.400833333,8.590833333,1.580833333
9/1/1961,-0.64,-1.5,-0.09,1.22,0.73,-3.07,-1.16,-1.5,-4.47,-4.27,-2.34,-7.91,-4.53,-1.4,4.57,-6.38,-6.3,1.14,-6.8,1.21,-2.96,-6.06,0.99,-2.76,-1.18,-4.24,0.64,-6.23,-0.42,3.12
10/1/1961,3.728333333,-0.841666667,7.048333333,-5.261666667,0.988333333,-0.671666667,8.278333333,3.328333333,0.048333333,3.108333333,0.738333333,-1.901666667,0.548333333,-1.951666667,0.068333333,-5.261666667,-2.231666667,4.638333333,6.468333333,5.108333333,-0.001666667,2.238333333,6.528333333,1.738333333,2.158333333,4.298333333,9.348333333,0.708333333,2.018333333,0.388333333
11/1/1961,5.223333333,4.413333333,7.973333333,0.193333333,3.693333333,4.453333333,5.243333333,3.063333333,2.433333333,7.313333333,6.003333333,1.593333333,2.953333333,5.723333333,8.543333333,3.133333333,3.503333333,6.033333333,5.313333333,3.203333333,8.283333333,8.213333333,0.933333333,1.993333333,0.413333333,5.593333333,4.843333333,1.023333333,7.163333333,1.633333333
12/1/1961,-3.716666667,1.383333333,-6.146666667,1.943333333,-3.686666667,-3.806666667,0.293333333,-2.236666667,-0.186666667,-1.196666667,0.143333333,3.093333333,0.043333333,-1.446666667,1.713333333,0.183333333,-3.096666667,0.073333333,3.663333333,-4.426666667,3.113333333,-0.706666667,-0.576666667,-2.676666667,-0.266666667,0.433333333,-0.656666667,-2.236666667,-4.466666667,-0.796666667
1/1/1962,-6.656666667,-3.436666667,-4.266666667,-13.21666667,-3.426666667,-7.356666667,-5.876666667,-4.846666667,-4.746666667,0.583333333,-5.486666667,-3.976666667,-0.636666667,-2.446666667,-1.256666667,6.483333333,-1.566666667,4.683333333,-0.256666667,-2.806666667,-6.306666667,-4.866666667,-6.896666667,-5.206666667,2.533333333,-0.776666667,-9.546666667,-3.886666667,-4.976666667,-3.606666667
2/1/1962,-0.2775,0.2525,0.6525,-2.0475,-0.5475,-0.9275,1.9825,3.5325,3.2725,1.9025,1.0625,-1.0875,1.4825,-0.4775,-1.5675,-3.3675,-3.3375,0.4325,5.2425,2.3925,3.8625,-1.9675,-0.0975,3.8425,0.2925,-0.1175,1.5525,-0.6175,3.5625,4.1725
3/1/1962,0.953333333,-0.366666667,-6.696666667,-5.366666667,0.383333333,4.283333333,-1.206666667,0.313333333,-2.746666667,-0.766666667,-0.606666667,0.733333333,-1.926666667,1.173333333,-1.126666667,-3.566666667,-1.516666667,-4.706666667,-1.816666667,1.753333333,-3.166666667,-1.436666667,-0.786666667,1.103333333,-1.706666667,-2.326666667,0.873333333,-4.096666667,-2.156666667,-1.856666667
